"AS14.03.time" "AS14.03.activity" "AS14.03.appCat.builtin" "AS14.03.appCat.communication" "AS14.03.appCat.entertainment" "AS14.03.appCat.finance" "AS14.03.appCat.office" "AS14.03.appCat.other" "AS14.03.appCat.social" "AS14.03.appCat.travel" "AS14.03.appCat.unknown" "AS14.03.appCat.utilities" "AS14.03.appCat.weather" "AS14.03.call" "AS14.03.circumplex.arousal" "AS14.03.circumplex.valence" "AS14.03.mood" "AS14.03.screen" "AS14.03.sms"
2014-03-21 NA 15.2777272727273 45.3878684210526 31.5339 NA 10.046 36.2392 NA NA NA NA NA 1 1 2 9 33.2990800189972 1
2014-03-22 0.191388308645086 12.6865263157895 13.0998571428571 53.6373150684932 NA NA 14.8693333333333 NA 24.0778571428571 NA 4.35 NA 1 0.8 1 7.8 36.7157916724682 1
2014-03-23 0.100246698394212 12.9625263157895 31.3150416666667 20.9806144578313 36.364 40.4995 15.7205625 NA 34.425625 NA NA 44.854 1 -0.2 1.2 8.2 43.1481794923799 1
2014-03-24 0.090740222421567 13.178 36.2275555555556 33.1190084745763 15.031 25.065 40.524619047619 NA NA 11.064 5.136 NA 1 -0.6 1.4 7.8 49.9843679962158 NA
2014-03-25 0.132768285523492 47.4770454545455 16.5202278481013 13.51416 149.181 12.8250909090909 26.726 NA NA 47.324 9.61433333333333 NA 1 -0.4 1.2 7.8 28.2918805987088 1
2014-03-26 0.0911532011403041 5.64947619047619 14.7135113636364 25.3319677419355 29.047 5.171 10.3828571428571 NA 6.42 3.8245 NA NA 1 0.5 1 8.25 31.6347380857619 NA
2014-03-27 0.103195753698731 21.012 15.0268064516129 19.4559647058824 NA 6.7185 10.0053333333333 NA NA NA 8.745 NA 1 0.25 0.5 7.75 36.8048539509934 1
2014-03-28 0.104679287979067 25.2296363636364 13.2518169014084 37.6605730337079 NA 15.402 17.5982857142857 NA NA 31.8935 7.045 NA 1 -0.5 1.5 8 28.7649734357817 NA
2014-03-29 0.163377337758651 9.655 7.6464 40.794 49.371 NA 10.4425 NA NA NA NA NA NA -0.2 1.6 8.6 43.488288471332 1
2014-03-30 0.164650715266679 3.21725 15.6874743589744 29.1402 NA 26.284 15.5045 NA NA 35.267 NA 15.9775 1 -0.2 1 8.4 34.9874411704494 NA
2014-03-31 0.0836335845955087 39.3268461538462 53.8132317073171 19.9937411764706 25.8303333333333 NA 7.05614285714286 NA NA NA 5.16 NA 1 0.4 0.6 7.4 76.4084878045369 1
2014-04-01 0.097414340146311 49.4239090909091 12.0643728813559 31.8932156862745 58.641 15.6225 12.702125 NA NA NA NA NA 1 0.4 0.4 7.6 36.42947726629 NA
2014-04-02 0.0786881382869165 32.8537692307692 13.0247301587302 33.584813559322 21.813 4.67475 9.8842 NA 27.0725 NA NA NA 1 0.2 0.6 7.4 32.3484615454307 NA
2014-04-03 0.0836364543999837 1399.05471428571 11.2325245901639 38.0574545454545 9.012875 NA 10.1374444444444 NA NA 20.192 14.5985 NA 1 0 1 7.8 28.5524197507788 NA
2014-04-04 0.0871065604162596 20.5697666666667 26.8030333333333 24.9375454545455 47.284 6.163 56.416875 NA NA 315.509 NA NA NA 0.2 1.4 7.8 41.9668051793978 1
2014-04-05 0.114427937629636 9.74292592592593 16.5731940298507 40.9966785714286 NA 35.4953333333333 10.1436666666667 NA 9.848 NA NA NA 1 1.2 1 7.6 40.5543368314441 NA
2014-04-06 0.0767720154852371 3.68766666666667 28.0901153846154 54.2846153846154 NA NA 170.7655 NA NA 23.094 NA NA NA 0.2 0.8 6.8 91.3416514938529 NA
2014-04-07 0.14406393678903 28.3814761904762 24.825625 36.4320579710145 17.6394 31.17025 8.00911111111111 NA NA 27.588 NA NA 1 0.2 1 7.4 54.1467204273388 NA
2014-04-08 0.103830888965365 45.9752631578947 11.5824406779661 20.1174923076923 27.089 1494.864 7.0913 NA NA 11.128 NA NA 1 0.4 1.2 7.4 53.2844285709518 1
2014-04-09 0.0921222333052219 7.94766666666667 10.9123571428571 17.8974545454545 15.8675 5.42333333333333 5.72461538461538 NA NA 25.127 NA NA NA 0.6 1 7.8 19.9294606701711 NA
2014-04-10 0.108066399115195 51.8445 21.1783214285714 47.056406779661 NA 5.217 9.5092 13.22 NA 2239.937 NA NA NA 0.4 1 7.4 77.1237472675658 1
2014-04-11 0.120188083271766 17.0265 19.5275632183908 55.865875 17.149 4.58 29.5076666666667 NA NA 28.343 4.513 NA NA 0.2 1 7.6 55.3768999920951 NA
2014-04-12 0.127037342271285 1145.70935294118 15.3098666666667 354.550764705882 NA NA 97.4979090909091 NA NA 21.096 9.33 NA 1 0.333333333333333 1 7.66666666666667 56.654954530976 NA
2014-04-13 0.0781375421662018 173.932625 54.3420909090909 43.4855945945946 NA 35.7642222222222 333.485153846154 NA NA NA NA NA 1 0.2 1 7.4 106.199356147688 1
2014-04-14 0.0928962657178071 45.20195 70.023862745098 18.591435483871 28.19 8.073 9.668 5.90928571428571 NA 11.226 17.303 NA NA 0 0.8 7 52.2277407440138 1
2014-04-15 0.119554998521391 15.7934782608696 23.8861914893617 33.0364642857143 NA 6.025 12.529375 NA NA 12.082 NA NA 1 0.2 0.8 7.6 31.2187795132164 NA
2014-04-16 0.114768169214947 8.42203448275862 23.4564677419355 41.4412380952381 18.113 16.593 11.692 NA NA 19.114 7.662 NA 1 0.8 1 8 52.2996764720655 NA
2014-04-17 0.140859246352366 50.4544444444444 17.5067179487179 13.8069642857143 86.288 NA 7.59527272727273 NA NA 101.287 15.6655 NA 1 0.25 0.75 7.25 32.3000387114863 1
2014-04-18 0.0738760828994091 47.3399459459459 41.5901034482759 72.9592711864407 NA 26.2634285714286 4.29836363636364 NA NA 9.1335 7.954 NA 1 0 1 7.5 65.1430937548478 NA
2014-04-19 0.208229777089402 8.40171428571429 36.09965625 2.15177419354839 NA NA 10.6988 NA 17.2585 NA NA NA 1 0.6 0.8 7.8 30.0399583379428 1
2014-04-20 0.146852637223947 18.136 16.5664333333333 14.697 NA NA 9.8222 NA 13.3085 112.58 NA NA 1 0.25 1 7.5 33.5492980709443 1
2014-04-21 0.0208458050307715 144.612 26.904 78.7553725490196 23.194 NA 186.810777777778 NA 55.7396666666667 NA 5.461 NA 1 0.2 1 7.4 150.498450011015 NA
2014-04-22 0.0928556144608231 6.63652631578947 29.1371290322581 35.4906818181818 NA 13.1826666666667 7.3491 NA NA 23.108 NA NA NA 0.4 0.8 7.6 37.1637340454345 NA
2014-04-23 0.120389719336912 9.6916 18.9687435897436 25.1972842105263 79.5615 NA 9.7545 NA NA 24.156 NA NA NA 0.6 0.8 7 39.9292336423821 1
2014-04-24 0.106001092236068 9.63958333333333 42.0170298507463 19.6416516853933 26.177 NA 17.6682222222222 NA NA 17.439 NA NA NA -0.2 1 7.4 49.9347346972446 NA
2014-04-25 0.106167618220484 8.4248 89.1233258426966 33.6661717171717 10.82575 59.4993333333333 11.5248 NA NA 27.2505 10.174 NA NA -1 1 7.5 106.507058821472 NA
2014-04-26 0.269142250334385 26.0759411764706 45.1109230769231 39.6671304347826 NA NA 6.00306666666667 2.77928571428571 NA NA NA NA 1 -0.25 1 7.5 53.677753837292 1
2014-04-27 0.0655520717588992 4.47 22.4672564102564 110.179417910448 NA NA 121.7142 NA 60.1035555555556 18.7833333333333 NA NA NA -1.4 1 7.6 66.9738860643363 NA
2014-04-28 0.0826284903411332 7.3880625 33.5551764705882 38.8613555555556 14.0585 NA 7.95333333333333 2.62533333333333 NA 8.246 6.619 NA 1 -1.4 1 7 31.4506542058749 NA
2014-04-29 0.118695848224905 10.3895 19.4849239130435 10.7162021276596 34.2495714285714 6.506 8.331125 NA NA 13.057 NA NA NA -0.6 1 7.2 32.1922368313137 NA
2014-04-30 0.0896922408290305 19.1088 27.4072794117647 30.4044545454545 NA NA 12.1724285714286 NA NA 20.75 8.135 NA NA -1.2 1 7 50.5922592480977 NA
2014-05-01 0.13638883459216 114.0235625 20.8293461538462 42.6288873239437 NA 15.2915 8.0127 NA 22.448 NA 12.198 NA 1 -0.8 1 7.2 45.6702439029042 NA
2014-05-02 0.134376922694768 7.22934210526316 21.6142352941176 46.0561460674157 21.612 NA 50.9984285714286 NA 49.673 NA 7.2255 NA 1 -1.2 1.4 7.6 76.2203908076231 1
2014-05-03 0.138918931436301 45.87325 16.5019285714286 33.30291 NA NA 6.01566666666667 NA 18.12725 15.146 11.342 NA 1 -0.4 1 7.75 72.8656862763798 NA
2014-05-04 0.0661624066483447 5.3756 7.68584 81.6011818181818 NA NA 7.552 NA NA 41.416 NA NA 1 -1.2 0.8 7.4 64.8550851142153 NA
