"AS14.08.time" "AS14.08.activity" "AS14.08.appCat.builtin" "AS14.08.appCat.communication" "AS14.08.appCat.entertainment" "AS14.08.appCat.office" "AS14.08.appCat.other" "AS14.08.appCat.social" "AS14.08.appCat.travel" "AS14.08.appCat.unknown" "AS14.08.appCat.utilities" "AS14.08.call" "AS14.08.circumplex.arousal" "AS14.08.circumplex.valence" "AS14.08.mood" "AS14.08.screen" "AS14.08.sms"
2014-03-05 NA NA NA NA NA NA NA NA NA NA NA 0 0.333333333333333 6.33333333333333 NA NA
2014-03-06 NA NA NA NA NA NA NA NA NA NA NA -0.6 0.6 7.2 NA 1
2014-03-07 NA NA NA NA NA NA NA NA NA NA NA 0.6 1.2 7.4 NA 1
2014-03-08 NA NA NA NA NA NA NA NA NA NA NA 0 1 7 NA NA
2014-03-09 NA NA NA NA NA NA NA NA NA NA NA -1 1.2 7.2 NA NA
2014-03-10 NA NA NA NA NA NA NA NA NA NA NA -1 0.6 6.8 NA 1
2014-03-11 NA NA NA NA NA NA NA NA NA NA NA 0.4 0.4 6.6 NA 1
2014-03-12 NA NA NA NA NA NA NA NA NA NA NA 0.6 1 7 NA NA
2014-03-13 NA 14.101 47.8646666666667 NA NA 26.106875 33.4918333333333 NA NA 13.062 NA 0 0.6 6.6 55.0665333588918 1
2014-03-14 NA 20.4390689655172 15.31076 NA NA 8.4516 30.7681071428571 116.122272727273 25.7495714285714 6.703 NA -0.2 1.2 7.4 71.8591915039306 1
2014-03-15 NA 6.8456 16.6175652173913 38.795 17.086 11.9541666666667 36.3555 NA NA NA NA -0.6 0.6 6.4 63.2006315934031 1
2014-03-16 NA 29.846 103.144823529412 NA NA 7.034375 46.9405 NA NA 11.119 NA -1.25 1.25 7 152.506437495351 NA
2014-03-17 0.00555555555555555 4.04171428571429 205.822 NA NA 6.8395 498.138142857143 NA NA NA NA 0 0.2 5.4 50.6674642903464 NA
2014-03-18 0.0284913617819379 2.96 28.67584 47.5966666666667 NA 6.73385714285714 25.2148125 NA NA NA NA -0.2 0.6 6.4 59.9168181636117 NA
2014-03-19 0.0630171632209882 4.9837 30.6578787878788 6.61775 NA 8.04525 72.8041111111111 NA NA 9.098 1 -0.2 1 7 55.3775757298325 NA
2014-03-20 0.0575238776758923 442.080090909091 16.4376470588235 NA NA 6.85857142857143 51.4866153846154 NA NA NA NA -0.2 0.8 6.4 40.6129629435363 1
2014-03-21 0.00894230236465268 17.9886666666667 47.6426923076923 NA NA 7.45442857142857 24.66325 NA NA 16.1053333333333 NA -0.4 0.6 6.6 46.8512295035065 1
2014-03-22 0.0222314544523495 3.519 173.16088 NA NA 6.16528571428571 37.72975 89.938 NA 16.075 NA -0.4 0.8 6.4 41.266380968548 NA
2014-03-23 0.0421848253883106 5.07052941176471 23.2698125 NA NA 406.5138 73.3152272727273 40.405125 NA 20.61275 1 -0.2 0.8 7.2 36.1731842191596 NA
2014-03-24 0.0463079127626616 2.4045 17.6413636363636 NA NA 7.43185714285714 44.7424210526316 NA NA 5.5315 NA -0.8 1 6.8 59.6361515088515 NA
2014-03-25 0.0168976618425148 18.401 97.9970666666667 44.56 NA 5.867 25.9606470588235 NA NA NA NA -0.6 1 7.2 27.9339615381681 1
2014-03-26 0.0895013931186419 11.4084827586207 16.5742777777778 112.399 161.499 7.663 29.5481428571429 NA NA 11.029 NA -0.25 0.5 6.5 37.1112449169159 1
2014-03-27 0.0870115013606353 5.34104166666667 48.2143414634146 NA NA 8.141 93.2613913043478 NA 358.674 12.025 NA 0 0.5 6.33333333333333 62.0820500075817 1
2014-03-28 0.0165597620461136 21.9581052631579 20.4097021276596 NA NA 7.43257142857143 30.7130869565217 NA 16.7534 NA 1 -0.25 0.5 6.25 33.3906551763929 1
2014-03-29 0.024944120627437 7.79916666666667 22.3403333333333 16.22225 NA 6.79944444444444 34.2693076923077 NA NA NA NA -0.166666666666667 1 7.16666666666667 49.65954169631 1
2014-03-30 0.0784470781932718 4.963 9.12145833333333 NA NA 7.18033333333333 50.6555 NA NA NA NA 0 0.6 6.8 38.9946499466896 NA
2014-03-31 0.0789346518177163 3.048 21.5846140350877 6.728 NA 8.44433333333333 20.7919090909091 NA NA 14.035 NA 0 1.2 7.6 41.7635249912739 NA
2014-04-01 0.0623538545853124 3.525625 39.599756097561 11.513125 NA 6.64322222222222 64.9544666666667 NA NA 3.005 NA -1 1 7.2 64.8255937695504 NA
2014-04-02 0.00828954735938543 16.932 90.4921 19.154 NA 5.74822222222222 18.926 NA NA 20.146 NA -0.4 0.8 6.6 40.9888235681197 NA
2014-04-03 0.0787678856372969 3.6467 29.935582278481 NA NA 7.14386666666667 28.1057777777778 NA NA 16.859 NA 0 1.33333333333333 7 42.3525074453496 NA
2014-04-04 0.0311239725872736 11.2198 39.2487272727273 NA NA 5.74583333333333 58.6948214285714 NA NA 9.065 1 0.25 1.25 7.5 37.2208235544317 NA
2014-04-05 0.128414141414141 2.16 29.74409375 76.908 NA 6.666 30.1676666666667 NA NA 8.5285 NA 0.2 1.2 7.4 59.8430344811801 NA
2014-04-06 0.00728023528880459 17.27625 17.4716842105263 5.516 NA 6.8792 29.6009444444444 NA NA 11.055 NA NA NA 7.6 68.2109473880969 NA
2014-04-07 0.10247313379515 10.7500588235294 41.0218620689655 122.798666666667 NA 5.34461538461538 28.3746818181818 NA 7.028 NA 1 0 1 7 58.4480789272409 1
2014-04-08 0.0581482922279692 3.08472727272727 23.466776119403 46.5835 NA 7.08175 25.6888095238095 NA NA 15.5985 NA -0.25 0.5 6.5 38.8558636506398 NA
2014-04-09 0.0403662659654395 12.5182222222222 49.1706111111111 NA NA 722.7522 117.103588235294 NA NA 6.016 NA 0.25 0.5 6.25 70.7176470686408 NA
2014-04-10 0.206573262742738 4.75294736842105 41.0615974025974 230.726 NA 16.5062 15.9504181818182 NA NA 15.861 NA 1.2 1.4 7.6 58.143399998347 NA
2014-04-11 0.0741355491619204 3.2465 14.6047741935484 16.0735 NA 4.8116 31.9458387096774 NA NA 3.01 1 0.6 1 7.6 39.5480250179768 NA
