,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
2014-03-21,6.4,-0.6,0.4,0.17338556642033126,10506.898999214172,9.0,0.0,2765.003000000003,2927.505999999999,214.90900000000002,413.51199999999994,0.0,0.0,3858.509,1411.9190000000006,63.63800000000001,0.0,0.0,0
2014-03-22,5.8,-0.6,0.0,0.09600046671698094,12238.167000055313,0.0,0.0,5753.343999999999,4851.759,604.6679999999999,281.008,0.0,0.0,1110.389,1862.0810000000006,0.0,0.0,12.133,0
2014-03-23,6.0,-0.6,0.2,0.0664366525273635,8890.100001811985,0.0,0.0,5172.018999999998,3209.224000000001,315.57700000000006,159.62400000000005,0.0,0.0,304.809,1348.6059999999995,0.0,0.0,0.0,0
2014-03-24,6.5,-1.0,0.25,0.08183477959828253,12546.419000387195,0.0,0.0,3389.1179999999986,6946.741999999999,465.08600000000007,868.4489999999997,0.0,0.0,439.074,950.617,210.02900000000002,0.0,0.0,0
2014-03-25,5.75,-0.25,0.0,0.0869440958385846,13155.095999240872,1.0,1.0,5014.600999999999,5569.083000000001,0.0,377.51599999999996,0.0,0.0,1517.705,1172.6940000000004,1469.5229999999995,0.0,0.0,0
2014-03-26,7.0,-0.2,1.0,0.13618336177266896,10784.664999961855,1.0,1.0,3035.877999999999,4654.1359999999995,517.6050000000001,6.047999999999999,0.0,0.0,1899.149,1055.6129999999996,104.189,0.0,0.0,0
2014-03-27,6.6,-1.0,0.8,0.08024686578120244,12552.150002241135,1.0,0.0,1914.5849999999991,9562.313000000002,245.311,155.584,0.0,0.0,98.693,1623.8840000000002,1.008,0.0,0.0,0
2014-03-28,6.2,-0.4,0.6,0.0696839987353426,11750.760998725891,1.0,0.0,6551.7040000000015,7143.947000000001,161.928,223.365,0.0,0.0,309.14599999999996,1189.358,0.0,13.838,0.0,0
2014-03-29,8.0,-0.25,1.25,0.16564287093948113,4674.6099982261685,1.0,1.0,3150.4640000000013,1853.369,11.45,155.06099999999995,0.0,0.0,33.428000000000004,821.441,0.0,0.0,0.0,0
2014-03-30,6.5,-1.0,1.0,0.009551822310687784,2666.268000602723,1.0,0.0,26314.186,520.2429999999998,0.0,0.0,0.0,0.0,24.285999999999998,0.0,0.0,0.0,0.0,0
2014-03-31,6.75,-0.25,0.75,0.046555175742613406,3093.012999773025,4.0,2.0,3419.888,1041.851,0.0,0.0,0.0,0.0,39.336999999999996,0.0,0.0,0.0,0.0,0
2014-04-01,6.2,0.0,0.4,0.052005566719441405,430.883999824524,0.0,0.0,262.253,95.12,0.0,0.0,0.0,0.0,40.202,32.446,0.0,0.0,0.0,0
2014-04-02,7.0,-1.0,1.0,0.06348750312481978,779.8729991912842,0.0,0.0,1549.8489999999995,160.76300000000003,0.0,0.0,0.0,0.0,14.067,71.732,0.0,0.0,0.0,0
2014-04-03,7.333333333333332,-0.5,1.0,0.06938709391802697,2372.658999443057,0.0,0.0,1613.3329999999994,373.99800000000005,0.0,8.059,0.0,0.0,67.906,46.582,0.0,0.0,0.0,0
2014-04-04,7.5,-1.0,1.0,0.0038194444444444404,307.54099965095514,0.0,0.0,239.324,36.288,0.0,0.0,0.0,0.0,31.473000000000003,0.0,0.0,0.0,0.0,0
2014-04-05,7.4,-1.6,0.6,0.016678436911487744,1485.8990004062653,0.0,0.0,1584.1660000000006,755.5039999999999,0.0,0.0,0.0,3.011,66.697,79.28,0.0,0.0,0.0,0
2014-04-06,7.4,-1.0,1.0,0.02901523603791795,1263.3870003223412,1.0,0.0,1628.3429999999994,6760.954000000001,0.0,0.0,0.0,0.0,44.724,109.675,0.0,0.0,0.0,0
2014-04-07,7.0,-0.2,1.0,0.008827357154755956,550.3640000820161,0.0,1.0,224.36500000000004,106.627,0.0,0.0,0.0,0.0,84.59699999999998,133.944,0.0,0.0,0.0,0
2014-04-08,6.8,-0.2,0.8,0.039592086834733885,452.8569993972779,1.0,0.0,40323.877,67.482,0.0,0.0,0.0,0.0,47.408,0.0,0.0,0.0,0.0,0
2014-04-09,8.0,0.3333333333333333,1.0,0.11708683473389354,1098.342000484467,0.0,0.0,879.3349999999997,166.57600000000005,0.0,0.0,0.0,0.0,30.412,13.054,0.0,0.0,0.0,0
2014-04-10,6.666666666666668,-0.3333333333333333,1.0,0.0520108043217287,846.4809994697566,0.0,0.0,881.543,18.882,0.0,0.0,0.0,0.0,23.165,29.299,0.0,0.0,0.0,0
2014-04-11,7.75,1.0,1.0,0.026137955182072826,552.9420001506809,2.0,0.0,5877.102,19.197,0.0,0.0,0.0,0.0,61.623000000000005,66.422,0.0,0.0,0.0,0
2014-04-12,7.5,0.0,1.0,0.06368182159869593,115.98700022697449,0.0,0.0,93.682,0.0,0.0,0.0,0.0,0.0,22.239,0.0,0.0,0.0,0.0,0
