,mood,arousal,valence,activity,screen,calls,sms,builtin,communication,entertainment,finance,game,office,other,social,travel,unknown,utilities,weather
2014-03-21,7.0,0.0,1.0,,3007.833998918533,3.0,1.0,29.307000000000002,1221.0810000000004,1447.4559999999997,0.0,0.0,2.113,216.908,0.0,0.0,0.0,2.02,0.0
2014-03-22,7.0,0.0,0.6666666666666666,0.06284722222222221,4706.241000652313,0.0,0.0,149.05999999999997,2687.0550000000003,4606.764999999997,0.0,0.0,13.309000000000001,147.031,122.56800000000001,193.317,0.0,1.003,3.02
2014-03-23,6.75,0.75,0.25,0.03333333333333332,7160.279999732973,0.0,1.0,299.25399999999996,3187.773,35937.645000000004,0.0,0.0,0.0,68.39899999999999,18.333,193.588,0.0,3.0540000000000003,0.0
2014-03-24,7.25,0.5,0.5,0.07916666666666668,5929.984000682831,0.0,0.0,60.258,3151.8010000000013,1067.7350000000001,54.492000000000004,0.0,4.090999999999999,83.63300000000001,903.1550000000001,250.54899999999998,324.702,20.666999999999998,0.0
2014-03-25,6.2,0.4,-0.2,0.025694444444444447,7212.193001270292,1.0,0.0,327.622,2417.235000000001,3985.338999999997,106.12,0.0,10.256,72.38,122.999,32.474000000000004,0.0,3.016,17.433
2014-03-26,7.75,0.5,0.75,0.0863155761862658,8552.027000188831,3.0,2.0,625.4370000000001,1505.1810000000003,2757.0009999999997,61.349,0.0,1.004,46.913,318.847,0.0,0.0,75.999,0.0
2014-03-27,7.8,-0.4,0.8,0.027083333333333348,4169.42199897766,1.0,0.0,210.58200000000002,790.652,2440.000000000001,0.0,0.0,0.0,96.62199999999999,501.6170000000001,1.01,112.478,0.0,14.395999999999999
2014-03-28,8.25,-0.25,1.0,0.07977843915343913,10467.48400187493,4.0,0.0,509.971,2641.9620000000004,5631.858000000001,56.071000000000005,0.0,6.096,245.898,293.719,983.7690000000001,17.192,70.972,0.0
2014-03-29,8.0,-0.4,1.0,0.08229166666666667,7516.976999044418,5.0,0.0,454.9119999999999,3478.223000000002,3166.781,0.0,0.0,0.0,63.888999999999996,188.847,157.702,0.0,3.242,0.0
2014-03-30,7.75,-1.0,1.0,0.11195652173913047,8669.2909989357,2.0,1.0,1384.013,3493.521,3177.5580000000023,21.601,0.0,0.0,41.815,491.89300000000003,0.0,0.0,4.061,50.67
2014-03-31,7.0,-0.2,0.2,0.08333333333333336,6808.904999494551,3.0,0.0,623.375,3363.608,2077.0020000000004,97.282,0.0,4.1,49.509,10.145,576.3829999999999,0.0,4.043,0.0
2014-04-01,7.6,0.0,0.6,0.07986111111111115,12936.086001157757,5.0,0.0,2289.1389999999997,5259.524999999999,4216.561000000001,123.632,0.0,0.0,64.097,107.098,137.18,729.504,5.071000000000001,0.0
2014-04-02,6.2,0.2,0.0,0.041386554621848724,3616.184999942782,2.0,0.0,1302.409,698.0930000000001,1408.9719999999998,0.0,0.0,0.0,78.42599999999999,33.83,0.0,0.0,59.26199999999999,32.864000000000004
2014-04-03,7.6,0.0,0.6,0.18090277777777775,6119.871999502182,3.0,0.0,588.2239999999999,2006.619,1529.534,97.29,0.0,4.04,90.741,209.625,1508.7710000000002,80.247,0.0,0.0
2014-04-04,7.25,-0.75,0.75,0.07604166666666665,6912.645999670028,3.0,1.0,276.152,3102.533999999999,2802.714000000001,47.772000000000006,175.019,0.0,61.001,166.31900000000002,275.002,0.0,3.0869999999999997,0.0
2014-04-05,7.5,0.0,0.75,0.11562500000000003,5465.093000888824,0.0,0.0,53.05099999999999,3022.0789999999997,2117.323,0.0,80.992,1.012,76.69700000000002,109.2,0.0,0.0,1.0070000000000001,0.0
2014-04-06,6.8,-0.4,0.8,0.13888888888888887,7160.648002386094,0.0,0.0,269.692,2888.572,3578.599000000001,51.71,0.0,4.025,52.748999999999995,260.428,0.0,4.098,22.322000000000003,24.224
2014-04-07,6.2,-0.5,0.0,0.07812500000000004,5353.679001808165,0.0,0.0,174.613,2635.4200000000005,1657.5469999999993,76.338,0.0,3.043,63.722,301.159,348.162,0.0,0.0,90.352
2014-04-08,7.2,0.0,0.6,0.08645833333333332,4055.7270002365126,0.0,1.0,219.268,1722.9770000000003,17314.980999999996,160.191,0.0,1.032,65.994,34.371,389.942,0.0,0.0,0.0
2014-04-09,6.5,0.25,0.25,0.034126984126984145,4303.1010003089905,3.0,0.0,455.006,1715.1350000000004,2041.4039999999995,23.372,0.0,0.0,29.333999999999996,28.381999999999998,26.014,0.0,0.0,0.0
2014-04-10,6.0,0.75,0.0,0.03035714285714286,2158.587001562118,1.0,0.0,116.38900000000001,826.8670000000001,921.5539999999997,0.0,0.0,0.0,19.387,196.27100000000002,0.0,77.658,2.019,0.0
2014-04-11,6.8,0.0,0.6,0.11428571428571428,5562.076999187466,0.0,0.0,2.008,765.301,690.9629999999999,23.749000000000002,0.0,0.0,19.296,0.0,598.908,153.30700000000002,0.0,0.0
2014-04-12,7.0,0.0,0.8,0.06944444444444445,2841.563000202179,2.0,0.0,0.0,1664.7170000000003,1146.349,0.0,0.0,0.0,52.751999999999995,0.0,0.0,0.0,59.098000000000006,0.0
2014-04-13,6.0,-0.8,0.0,0.1722222222222222,1216.8459997177124,0.0,1.0,12.187,503.45700000000005,273.8819999999999,0.0,0.0,0.0,15.208,0.0,411.041,0.0,1.008,0.0
2014-04-14,5.8,-0.2,-0.2,0.08333333333333319,823.1890001296997,1.0,1.0,75.483,186.68600000000004,482.67,0.0,0.0,5.029,25.479,0.0,77.72,0.0,0.0,0.0
2014-04-15,6.0,0.0,0.0,0.08854166666666669,1799.8969995975488,1.0,1.0,120.66499999999999,595.632,1042.797,148.776,0.0,0.0,11.277000000000001,0.0,0.0,0.0,0.0,0.0
2014-04-16,5.5,-0.5,-0.25,0.015584415584415586,588.7820003032683,0.0,0.0,10.120999999999999,262.839,419.4920000000001,0.0,0.0,0.0,29.612,0.0,0.0,0.0,0.0,0.0
2014-04-17,7.0,0.0,0.75,0.11045653907496013,2211.4480004310594,1.0,1.0,31.595999999999997,1268.0370000000003,651.9979999999997,36.512,0.0,0.0,32.259,0.0,43.02400000000001,151.64100000000002,5.106999999999999,0.0
2014-04-18,6.6,-1.2,0.6,0.11473829201101932,2364.1620001792908,2.0,1.0,130.091,516.4950000000001,1488.6919999999993,80.219,0.0,72.352,12.052999999999999,38.117000000000004,22.127,0.0,3.0109999999999997,0.0
2014-04-19,8.0,0.25,1.0,0.11314935064935065,1896.4769990444192,0.0,0.0,13.157,761.494,584.2470000000001,0.0,0.0,4.0280000000000005,20.803,36.476,475.38599999999997,0.0,0.0,0.0
2014-04-20,6.25,0.0,0.25,0.041548295454545435,421.08100032806396,0.0,0.0,2.012,248.20999999999998,208.96999999999997,0.0,0.0,0.0,0.0,267.892,61.328,0.0,0.0,0.0
2014-04-21,6.5,-1.0,0.5,0.015309343434343441,848.1339998245236,2.0,0.0,66.726,66.779,554.8820000000001,32.885999999999996,0.0,0.0,16.339,0.0,0.0,108.031,2.205,0.0
2014-04-22,6.6,-0.2,0.4,0.06439393939393938,2612.3979995250684,15.0,0.0,814.349,835.9220000000001,1426.935,0.0,0.0,0.0,0.0,26.468000000000004,0.0,0.0,0.0,0.0
2014-04-23,6.333333333333333,-0.3333333333333333,0.3333333333333333,0.03922032828282828,2925.293999671936,2.0,2.0,810.732,765.12,1200.4119999999998,71.327,0.0,0.0,23.765,28.135,0.0,30.26,0.0,0.0
2014-04-24,7.2,0.2,1.0,0.042032828282828276,763.8369996547699,5.0,0.0,23.392,302.979,422.5449999999998,0.0,0.0,0.0,7.085,0.0,4.024,0.0,0.0,5.032
2014-04-25,7.25,0.25,1.0,0.11581439393939394,1263.7550008296964,0.0,0.0,4.023,644.2679999999999,976.6480000000004,47.888999999999996,0.0,0.0,25.512999999999998,0.0,0.0,71.26,0.0,14.065999999999999
2014-04-26,8.0,0.0,1.0,0.11026936026936031,1797.34500002861,0.0,0.0,74.732,1051.7220000000002,404.5199999999999,203.255,0.0,0.0,38.775000000000006,8.226,0.0,0.0,0.0,25.462
2014-04-27,6.25,-1.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-28,6.6,0.0,0.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-29,6.75,-0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-30,7.0,-0.5,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,7.5,-0.25,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,7.6,0.0,0.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-03,7.75,0.25,0.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
