Fold,MAE,MSE,RMSE,User
1,0.47687777966573563,0.3282882894465932,0.5729644748556346,AS14.01
1,0.5490544879526905,0.5015125177799259,0.708175485158817,AS14.02
1,0.2942106773256914,0.14625591250266995,0.38243419368914955,AS14.03
1,0.6248067293529393,0.8600119857713328,0.9273683118218633,AS14.05
1,0.4362979253363961,0.2782375459541837,0.5274822707486799,AS14.06
1,0.9658673922930228,1.4987763101013032,1.2242452001544883,AS14.07
1,0.468329324978464,0.3421889748918109,0.584969208498884,AS14.08
1,0.6237873224179449,0.5472737589879758,0.73977953404239,AS14.09
1,0.47084768678858313,0.31661433409477924,0.5626849332395344,AS14.12
1,0.7667954906732063,1.0666875283837345,1.0328056585746104,AS14.13
1,0.48324490065284503,0.3727078699454158,0.6104980507302343,AS14.14
1,0.22433213015269926,0.1278182435333619,0.35751677377902413,AS14.15
1,0.46897238686852094,0.4564739526087959,0.675628561125709,AS14.16
1,0.21598831214103079,0.10515353014766979,0.3242738505455995,AS14.17
1,0.37724697286686876,0.2456250646167178,0.49560575522961575,AS14.19
1,0.3196188878124301,0.179155848434,0.42326805742224394,AS14.20
1,0.31787211790449743,0.19671725654020406,0.4435281913702939,AS14.23
1,0.37693641645299136,0.28966909318774553,0.5382091537569251,AS14.24
1,0.4850961033885139,0.34771472609223564,0.589673406295583,AS14.25
1,,,,AS14.26
1,0.4919772737904277,0.47706405517361866,0.6906982374189315,AS14.27
1,0.5349261661874357,0.4232974864554742,0.6506131619138013,AS14.28
1,0.45259068606394237,0.3492791320129061,0.5909984196365554,AS14.29
1,0.19012621889782844,0.08882143374549514,0.29802924981534135,AS14.30
1,0.2825452058545322,0.14919336406163072,0.386255568324433,AS14.31
1,0.5004372471764851,0.49970306794698693,0.7068967873367278,AS14.33
2,0.580903616307244,0.4374820133243177,0.6614242309776062,AS14.01
2,0.5048856964211745,0.4714603444954329,0.6866296996893106,AS14.02
2,0.2962807762721402,0.15153923247259493,0.38928040340170594,AS14.03
2,0.6758719583666813,0.88439290538192,0.9404216636072991,AS14.05
2,0.4126007515495365,0.25048880791388883,0.500488569214012,AS14.06
2,0.7774435064200622,1.1736507230439912,1.0833516156096281,AS14.07
2,0.45626030886271274,0.31663992305008526,0.5627076710425096,AS14.08
2,0.6758717000696823,0.5970596816023528,0.7726963709002086,AS14.09
2,0.40484657435838417,0.2634059297832116,0.5132308737626874,AS14.12
2,0.6747272807766969,1.0017798344547753,1.0008895216030465,AS14.13
2,0.5441678675352257,0.4507971415635835,0.6714142845989974,AS14.14
2,0.15470240838068716,0.0801706120372662,0.28314415416403393,AS14.15
2,0.5670294368329195,0.49352498868438743,0.7025133370153106,AS14.16
2,0.22121215511508724,0.1035380356557918,0.3217732674660712,AS14.17
2,0.43529268559477996,0.2995273285585138,0.547290899393105,AS14.19
2,0.41384560535436526,0.27196166560287766,0.5214994396956507,AS14.20
2,0.2703385431000073,0.1851518501807894,0.4302927493936999,AS14.23
2,0.409803476757725,0.29799123377816944,0.5458857332612471,AS14.24
2,0.3940720533720158,0.211684869687969,0.46009224041269053,AS14.25
2,0.5869958133752671,0.45299836203171595,0.6730515299973071,AS14.26
2,0.4764868080528249,0.4715603454441348,0.6867025159733542,AS14.27
2,0.4556936425785046,0.3527961734329225,0.5939664750075736,AS14.28
2,0.46940331140701524,0.3891979704560589,0.6238573318123776,AS14.29
2,0.17409289953949156,0.07038627295389872,0.2653041140915435,AS14.30
2,0.21445112691692705,0.0965092363135822,0.31065935735718986,AS14.31
2,0.5547892041882496,0.5233506774803168,0.7234298013493201,AS14.33
3,0.5588360639825845,0.41623929337676174,0.6451660975103711,AS14.01
3,0.47024105459568455,0.30018565081504306,0.5478920065259604,AS14.02
3,0.3094136939310712,0.15907678149527021,0.39884430733717413,AS14.03
3,0.6606104667694996,0.8432914329990687,0.918309007360305,AS14.05
3,0.42668895984050503,0.26340993940378643,0.5132347800020829,AS14.06
3,0.7564087493013876,1.0375789671728288,1.0186162020961718,AS14.07
3,0.46331926322352857,0.3067459616676301,0.5538465145395699,AS14.08
3,0.5504576116979373,0.40828747470538823,0.6389737668366271,AS14.09
3,0.4285660995468754,0.28784290102871357,0.5365099263095824,AS14.12
3,0.6110794641940904,0.575778269123578,0.7588005463384815,AS14.13
3,0.5799876931801493,0.46901861693283786,0.6848493388569765,AS14.14
3,0.21758939095597588,0.13000830762274226,0.3605666479622627,AS14.15
3,0.5404032050897005,0.44833824358106256,0.6695806475556642,AS14.16
3,0.2151408930052187,0.09858703084210216,0.31398571757661553,AS14.17
3,0.384980380652189,0.2468510896225436,0.4968411110431016,AS14.19
3,0.3727542802546262,0.2138480616466333,0.4624370893933934,AS14.20
3,0.24512272444807204,0.15082788438034905,0.38836565808571316,AS14.23
3,0.4130055703696316,0.27834311587944394,0.5275823309014849,AS14.24
3,0.45621969535820217,0.30018443793099114,0.5478908996606817,AS14.25
3,0.6303705081535045,0.5277887837318014,0.726490732034347,AS14.26
3,0.4663422023964112,0.39140093097255213,0.625620436824559,AS14.27
3,0.5202316849601704,0.4006742151140824,0.632988321467373,AS14.28
3,0.46825377448236466,0.3689030389208751,0.6073738872563382,AS14.29
3,0.1835937630331043,0.08173617915833381,0.2858953989807003,AS14.30
3,0.26043863751809576,0.15438406431146048,0.3929173759347638,AS14.31
3,0.5283498189467833,0.48152463108481425,0.6939197583905607,AS14.33
4,1.1247753806897178,1.4615685551136035,1.2089534958440724,AS14.01
4,0.43573042356864633,0.38685503211044564,0.6219767134792472,AS14.02
4,0.36510150676475916,0.21629131390280276,0.4650712998055274,AS14.03
4,3.551268394836596,20.74034449279791,4.554156836649119,AS14.05
4,0.4252917513875266,0.2810194661362514,0.5301126919214927,AS14.06
4,0.9250973384684842,1.41996902490428,1.1916245318489713,AS14.07
4,0.48736767163038747,0.38029198254722535,0.6166781839397477,AS14.08
4,0.6329081632653061,0.5543494897959184,0.7445464994182153,AS14.09
4,0.897026210842885,1.0201812103250323,1.0100402023310915,AS14.12
4,4.559408847282822,31.42415848593245,5.605725509328159,AS14.13
4,1.0330406357099209,1.2359887000589789,1.11175028673663,AS14.14
4,1.0332034930688245,1.5868292141138112,1.2596940954508802,AS14.15
4,1.3141807397358314,1.9298519808563717,1.3891911246680104,AS14.16
4,,,,AS14.17
