predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,office,social,travel,weather,gsm,amusement,system
2014-03-28,AS14.06,2014-03-27-2014-03-27,7.6,7.0,0.25,0.25,0.13232860520094558,0.09452728009886212,0.046826851851851856,0.0,0.012517800925925924,0.0,0.0,0.09090909090909093,0.028394201388888887,0.006061296296296294
2014-03-29,AS14.06,2014-03-28-2014-03-28,7.8,7.6,-0.2,0.8,0.17147079420003294,0.0801925694666527,0.041529988425925916,0.0004891550925925928,0.039549803240740734,0.0009260995370370367,0.0,0.09090909090909093,0.023101805555555563,0.0004897106481481482
2014-03-30,AS14.06,2014-03-29-2014-03-29,7.8,7.8,0.0,1.0,0.11158088235294117,0.045221423608837324,0.02177642361111112,0.0,0.014554664351851857,0.0,0.0,0.0,0.009103645833333326,0.0003751273148148149
2014-03-31,AS14.06,2014-03-30-2014-03-30,7.0,7.8,0.0,0.8,0.2112978524743232,0.10339954859956543,0.006363958333333332,0.0,0.02398256944444445,0.0,5.6238425925925916e-05,0.4545454545454545,0.05143774305555557,0.02169749999999999
2014-04-01,AS14.06,2014-03-31-2014-03-31,7.75,7.0,-0.2,0.4,0.16060545689131744,0.08685557870953171,0.0238552662037037,0.0003185416666666666,0.031248784722222218,0.0,0.0,0.09090909090909093,0.02796680555555555,0.02334716435185185
2014-04-02,AS14.06,2014-04-01-2014-04-01,6.8,7.75,0.0,0.75,0.2258536234024724,0.0968850694403604,0.046698159722222216,0.0,0.025742118055555558,0.0,0.0,0.2727272727272727,0.019010127314814808,0.015642175925925917
2014-04-03,AS14.06,2014-04-02-2014-04-02,7.2,6.8,-0.6,0.4,0.16255252100840334,0.1062905555659974,0.0513391435185185,0.0019328703703703704,0.032936423611111126,0.0002560416666666667,0.0,0.3636363636363637,0.016417789351851852,0.0069173032407407395
2014-04-04,AS14.06,2014-04-03-2014-04-03,7.0,7.2,0.0,0.4,0.2095738980962975,0.08253434028062552,0.04509114583333335,0.0,0.02170877314814816,0.0019388310185185183,0.0,0.18181818181818185,0.015343483796296303,0.005893981481481482
2014-04-05,AS14.06,2014-04-04-2014-04-04,7.0,7.0,-0.4,0.2,0.1495238095238096,0.10816739583456958,0.04143609953703704,0.0,0.034294212962962964,0.006365300925925926,0.0,0.0,0.03476136574074075,0.00995230324074074
2014-04-06,AS14.06,2014-04-05-2014-04-05,7.0,7.0,-0.4,0.8,0.29227390180878554,0.04742578703772145,0.01614945601851852,0.0,0.03052488425925927,0.0013851851851851853,0.0,0.18181818181818185,0.006475277777777776,0.006222499999999998
2014-04-07,AS14.06,2014-04-06-2014-04-06,6.2,7.0,-1.0,0.4,0.020425724637681147,0.061348900455567575,0.010263645833333331,0.0,0.03521465277777778,0.0,0.0,0.09090909090909093,0.006170833333333333,0.008802511574074072
2014-04-08,AS14.06,2014-04-07-2014-04-07,6.6,6.2,-0.6,0.0,0.19494720965309195,0.07185520832737294,0.03978443287037037,0.0,0.026329467592592592,0.0004334375,0.0,0.2727272727272727,0.006729421296296294,0.004663032407407407
2014-04-09,AS14.06,2014-04-08-2014-04-08,7.4,6.6,-0.2,0.0,0.17494855967078193,0.09351310183880507,0.04573094907407409,0.002000196759259259,0.017511157407407406,4.641203703703704e-05,0.0,0.4545454545454545,0.025756504629629647,0.02900956018518518
2014-04-10,AS14.06,2014-04-09-2014-04-09,7.6,7.4,0.4,0.8,0.10309597523219814,0.11215008101805496,0.048551967592592594,0.005483993055555554,0.04215653935185187,0.002865925925925927,1.1655092592592594e-05,0.09090909090909093,0.030767349537037025,0.01840199074074074
2014-04-11,AS14.06,2014-04-10-2014-04-10,7.8,7.6,-0.2,0.8,0.22428424516659806,0.08741153935039488,0.04043431712962963,0.0,0.03625372685185185,0.010310115740740741,0.0003025231481481481,0.4545454545454545,0.010833194444444435,0.00898505787037037
2014-04-12,AS14.06,2014-04-11-2014-04-11,8.2,7.8,-0.2,1.0,0.20591670956453667,0.07889539351341901,0.034008310185185166,0.0010432407407407408,0.03733876157407408,0.0011657407407407404,0.0,0.0,0.07358804398148151,0.0005603935185185187
