predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,gsm,amusement,system
2014-03-23,AS14.03,2014-03-22-2014-03-22,8.2,7.8,0.8,1.0,0.1913883086450861,0.030596493060390167,0.0053066550925925954,0.0,0.0,0.0,0.0019507523148148155,0.8181818181818182,0.04531856481481482,0.005630069444444443
2014-03-24,AS14.03,2014-03-23-2014-03-23,7.8,8.2,-0.2,1.2,0.1002466983942117,0.05842982639593108,0.017397245370370358,0.00042087962962962966,0.0018749768518518518,0.0,0.00318755787037037,0.18181818181818185,0.020154988425925932,0.005701111111111113
2014-03-25,AS14.03,2014-03-24-2014-03-24,7.8,7.8,-0.6,1.4,0.09074022242156704,0.07231534721674743,0.02641592592592591,0.0012177893518518518,0.0014505208333333336,0.0,0.0,0.2727272727272727,0.045231979166666665,0.0011271064814814813
2014-03-26,AS14.03,2014-03-25-2014-03-25,8.25,7.8,-0.4,1.2,0.132768285523492,0.043878611113738135,0.015105300925925932,0.005179895833333333,0.001632824074074074,0.0,0.0,0.6363636363636364,0.015641388888888892,0.01242289351851852
2014-03-27,AS14.03,2014-03-26-2014-03-26,7.75,8.25,0.5,1.0,0.09115320114030408,0.046133993041736106,0.014985983796296287,0.0010085763888888892,0.0002393981481481481,0.0,0.00014861111111111108,0.09090909090909093,0.027267048611111108,0.001373136574074074
2014-03-28,AS14.03,2014-03-27-2014-03-27,8.0,7.75,0.25,0.5,0.1031957536987308,0.0379124074263705,0.010783125000000005,0.0,0.00015552083333333333,0.0,0.0,0.3636363636363637,0.019140706018518524,0.007011874999999999
2014-03-29,AS14.03,2014-03-28-2014-03-28,8.6,8.0,-0.5,1.5,0.10467928797906652,0.03762085646114968,0.010889803240740736,0.0,0.0005347916666666667,0.0,0.0,0.2727272727272727,0.0387938773148148,0.0032936458333333338
2014-03-30,AS14.03,2014-03-29-2014-03-29,8.4,8.6,-0.2,1.6,0.16337733775865065,0.026173506950338692,0.0017699999999999999,0.0005714236111111111,0.0,0.0,0.0,0.09090909090909093,0.029273472222222232,0.0002234953703703704
2014-03-31,AS14.03,2014-03-30-2014-03-30,7.4,8.4,-0.2,1.0,0.16465071526667882,0.04130461804844715,0.014162303240740746,0.0,0.000304212962962963,0.0,0.0,0.09090909090909093,0.023608958333333332,0.00014894675925925929
2014-04-01,AS14.03,2014-03-31-2014-03-31,7.6,7.4,0.4,0.6,0.08363358459550868,0.10877597222173653,0.051072743055555515,0.0008968865740740743,0.0,0.0,0.0,0.3636363636363637,0.019669768518518524,0.02372865740740741
2014-04-02,AS14.03,2014-04-01-2014-04-01,7.4,7.6,0.4,0.4,0.09741434014631098,0.0371040972156657,0.008238402777777777,0.000678715277777778,0.000723263888888889,0.0,0.0,0.18181818181818185,0.01882585648148148,0.006292395833333335
2014-04-03,AS14.03,2014-04-02-2014-04-02,7.8,7.4,0.2,0.6,0.07868813828691651,0.03893796297135178,0.009497199074074076,0.0007573958333333332,0.00021642361111111122,0.0,0.0006266782407407407,0.18181818181818185,0.02293407407407407,0.009886550925925924
2014-04-04,AS14.03,2014-04-03-2014-04-03,7.8,7.8,0.0,1.0,0.08363645439998374,0.02676789351635509,0.007930370370370367,0.0008345254629629632,0.0,0.0,0.0,0.09090909090909093,0.024226388888888898,0.2270366087962963
2014-04-05,AS14.03,2014-04-04-2014-04-04,7.6,7.8,0.2,1.4,0.0871065604162596,0.03740097220849106,0.009306608796296295,0.0005472685185185183,7.133101851851852e-05,0.0,0.0,0.2727272727272727,0.0158745949074074,0.007142280092592595
2014-04-06,AS14.03,2014-04-05-2014-04-05,6.8,7.6,1.2,1.0,0.11442793762963628,0.04459099535864808,0.012851898148148149,0.0,0.001232476851851852,0.0,0.000227962962962963,0.5454545454545454,0.02657192129629629,0.003044664351851852
2014-04-07,AS14.03,2014-04-06-2014-04-06,7.4,6.8,0.2,0.8,0.07677201548523707,0.06977487266891537,0.008453043981481485,0.0,0.0,0.0,0.0,0.0,0.049006944444444464,0.00012804398148148148
2014-04-08,AS14.03,2014-04-07-2014-04-07,7.4,7.4,0.2,1.0,0.14406393678902962,0.05828292823776051,0.020688020833333327,0.0010207986111111114,0.0014430671296296294,0.0,0.0,0.18181818181818185,0.029095046296296306,0.006898275462962961
2014-04-18,AS14.03,2014-04-17-2014-04-17,7.5,7.25,0.25,0.75,0.14085924635236632,0.057945671299541424,0.02370701388888889,0.0019974074074074074,0.0,0.0,0.0,0.5454545454545454,0.013423437500000008,0.02138531250000001
2014-04-19,AS14.03,2014-04-18-2014-04-18,7.8,7.5,0.0,1.0,0.07387608289940913,0.07238121528316423,0.013959641203703705,0.0,0.0021278240740740736,0.0,0.0,0.5454545454545454,0.04982172453703704,0.020364953703703708
2014-04-20,AS14.03,2014-04-19-2014-04-19,7.5,7.8,0.6,0.8,0.208229777089402,0.016688865743301532,0.013370243055555557,0.0,0.0,0.0,0.0007990046296296295,0.4545454545454545,0.000772048611111111,0.0013613888888888888
2014-04-21,AS14.03,2014-04-20-2014-04-20,7.4,7.5,0.25,1.0,0.1468526372239469,0.04038341434465514,0.011504467592592596,0.0,0.0,0.0,0.00030806712962962965,0.4545454545454545,0.017690833333333333,0.005667500000000001
2014-04-22,AS14.03,2014-04-21-2014-04-21,7.6,7.4,0.2,1.0,0.02084580503077148,0.06967520833843291,0.0028025,0.00026844907407407416,0.0,0.0,0.0019354050925925925,0.2727272727272727,0.0464875462962963,0.008431956018518517
2014-04-23,AS14.03,2014-04-22-2014-04-22,7.0,7.6,0.4,0.8,0.09285561446082308,0.04043276620683845,0.02090858796296297,0.0,0.00045773148148148165,0.0,0.0,0.0,0.02711093750000001,0.0014594212962962966
2014-04-24,AS14.03,2014-04-23-2014-04-23,7.4,7.0,0.6,0.8,0.12038971933691188,0.04944939814507962,0.01712456018518518,0.0018417013888888886,0.0,0.0,0.0,0.09090909090909093,0.027705347222222242,0.0016825694444444444
2014-04-25,AS14.03,2014-04-24-2014-04-24,7.5,7.4,-0.2,1.0,0.10600109223606824,0.056638935189004286,0.032582650462962964,0.0006059490740740741,0.0,0.0,0.0,0.0,0.0202327199074074,0.0013388310185185185
2014-04-26,AS14.03,2014-04-25-2014-04-25,7.5,7.5,-1.0,1.0,0.10616761822048393,0.1257374999975716,0.09180527777777776,0.0005011921296296296,0.0020659490740740746,0.0,0.0,0.0,0.03857582175925926,0.0006053009259259259
2014-04-27,AS14.03,2014-04-26-2014-04-26,7.6,7.5,-0.25,1.0,0.2691422503343846,0.04038256943777757,0.0067875231481481476,0.0,0.0,0.00022517361111111108,0.0,0.8181818181818182,0.031678611111111116,0.0051306828703703705
2014-04-28,AS14.03,2014-04-27-2014-04-27,7.0,7.6,-1.4,1.0,0.06555207175889924,0.06123769674864081,0.010141469907407413,0.0,0.0,0.0,0.006260787037037037,0.0,0.08544005787037037,0.00010347222222222222
2014-04-29,AS14.03,2014-04-28-2014-04-28,7.2,7.0,-1.4,1.0,0.08262849034113323,0.03894930555588669,0.03301145833333334,0.0003254282407407408,0.0,9.11574074074074e-05,0.0,0.09090909090909093,0.040480578703703717,0.0015213773148148148
2014-04-30,AS14.03,2014-04-29-2014-04-29,7.0,7.2,-0.6,1.0,0.1186958482249048,0.042475868041316665,0.020747835648148152,0.005549699074074074,7.530092592592593e-05,0.0,0.0,0.0,0.011658831018518518,0.0002404976851851852
2014-05-01,AS14.03,2014-04-30-2014-04-30,7.2,7.0,-1.2,1.0,0.0896922408290305,0.04743024304509162,0.02157054398148148,0.0,0.0,0.0,0.0,0.0,0.023225625,0.002399976851851852
2014-05-02,AS14.03,2014-05-01-2014-05-01,7.6,7.2,-0.8,1.0,0.13638883459215953,0.04334444444488597,0.012536180555555556,0.0,0.0007079398148148148,0.0,0.001299074074074074,0.09090909090909093,0.03503068287037037,0.0212566550925926
2014-05-03,AS14.03,2014-05-02-2014-05-02,7.75,7.6,-1.2,1.4,0.1343769226947676,0.07674969907712054,0.012758402777777776,0.0005002777777777779,0.0,0.0,0.0005749189814814816,1.0,0.04744209490740739,0.003514085648148149
