predict_day,user,window,true_mood,mood,arousal,valence,activity,screen,communication,social,travel,weather,gsm,amusement,system
2014-04-17,AS14.26,2014-04-16-2014-04-16,6.0,6.8,0.2,0.2,0.08589519140989732,0.0408231134353965,0.0051806944444444435,0.028207997685185195,0.0,0.0,0.2857142857142857,0.0,0.2437323379629629
2014-04-18,AS14.26,2014-04-17-2014-04-17,7.2,6.0,0.0,-0.2,0.08151591851429837,0.07062821759945813,0.026558831018518508,0.030501631944444437,0.0012485532407407408,0.0,0.0,0.0,0.018280104166666672
2014-04-19,AS14.26,2014-04-18-2014-04-18,8.0,7.2,0.6,0.8,0.07688394772517218,0.12109452546746648,0.03683243055555556,0.07179682870370371,0.0,0.0,1.0,0.0,0.05260652777777782
2014-04-20,AS14.26,2014-04-19-2014-04-19,8.0,8.0,1.0,1.0,0.21578447641476228,0.03691870371224706,0.01224945601851852,0.019136539351851858,0.0,0.0,0.0,0.0,0.13366689814814814
2014-04-21,AS14.26,2014-04-20-2014-04-20,6.4,8.0,0.6,1.0,0.03286715657025878,0.08252100693958772,0.01008900462962963,0.06640357638888889,0.0,0.0,0.0,0.0007439699074074074,0.004522303240740741
2014-04-22,AS14.26,2014-04-21-2014-04-21,7.25,6.4,-0.2,0.0,0.09398120123755717,0.08931989583980156,0.024446087962962968,0.05263288194444446,0.0,0.0,0.0,0.0022053587962962964,0.009986481481481478
2014-04-23,AS14.26,2014-04-22-2014-04-22,6.2,7.25,0.5,1.0,0.10722584231432684,0.08777956020776874,0.03047877314814815,0.027084618055555548,0.0,7.197916666666664e-05,0.0,0.0,0.07602848379629637
2014-04-24,AS14.26,2014-04-23-2014-04-23,5.8,6.2,0.2,0.2,0.0960912896231939,0.0760665509325487,0.016835405092592588,0.04062052083333335,0.0,0.0001414699074074074,0.2857142857142857,0.00012855324074074077,0.01756972222222222
2014-04-25,AS14.26,2014-04-24-2014-04-24,6.6,5.8,0.0,-0.4,0.07687226020351642,0.08627431713872491,0.04261722222222221,0.028410462962962964,0.0,0.0004312268518518519,0.2857142857142857,0.0007692708333333334,0.08453259259259263
2014-04-26,AS14.26,2014-04-25-2014-04-25,8.0,6.6,0.2,0.4,0.11031263954857312,0.1128044444543344,0.04948540509259261,0.04418453703703705,0.001588414351851852,0.0012014699074074074,0.14285714285714285,0.0005134953703703704,0.08858089120370374
2014-04-27,AS14.26,2014-04-26-2014-04-26,7.8,8.0,1.0,1.0,0.2841226975153143,0.06949106481340192,0.03797592592592592,0.01981412037037037,0.0013736805555555555,0.0,0.42857142857142855,0.0006461805555555553,0.009370416666666664
2014-05-02,AS14.26,2014-05-01-2014-05-01,7.2,6.8,0.0,0.4,0.11682422969187675,0.06408099536818489,0.013136724537037035,0.02046120370370371,0.0,0.0,0.7142857142857143,0.0,0.03412412037037035
2014-05-03,AS14.26,2014-05-02-2014-05-02,7.8,7.2,0.2,0.8,0.1430287453399221,0.05491523149112858,0.01945760416666667,0.025258055555555558,0.000838125,0.0001397685185185185,0.0,0.003551157407407408,0.008484490740740737
2014-05-04,AS14.26,2014-05-03-2014-05-03,7.4,7.8,0.0,0.8,0.046457482065535634,0.04525174770090317,0.012605532407407407,0.04040079861111112,0.0,0.0,0.42857142857142855,0.0005852314814814814,0.014070057870370365
2014-05-05,AS14.26,2014-05-04-2014-05-04,6.5,7.4,-0.2,0.4,0.01751778609994721,0.051178599532555616,0.0044265972222222215,0.040349317129629636,0.0,0.0,0.0,0.0008976273148148149,0.00484152777777778
