predict_day,user,window,mood,arousal,valence,activity,true_mood
2014-05-15,AS14.24,2014-05-13-2014-05-14,6.35,-0.625,0.175,0.058224941070155405,6.4
2014-05-16,AS14.24,2014-05-14-2014-05-15,5.800000000000001,-0.4,0.0,0.05833402443260366,7.0
2014-05-17,AS14.24,2014-05-15-2014-05-16,6.7,0.1,0.7,0.038153976405919665,7.6
2014-05-23,AS14.24,2014-05-21-2014-05-22,6.4,0.4,0.6000000000000001,0.04658905228758169,6.8
2014-05-24,AS14.24,2014-05-22-2014-05-23,6.699999999999999,0.19999999999999998,0.7,0.026683053708228172,7.2
2014-05-25,AS14.24,2014-05-23-2014-05-24,7.0,-0.1,0.7,0.011338636371400989,7.0
2014-05-26,AS14.24,2014-05-24-2014-05-25,7.1,0.125,0.9,0.028705204630603852,7.0
2014-05-27,AS14.24,2014-05-25-2014-05-26,7.0,0.525,1.0,0.024349119815350713,6.2
2014-05-28,AS14.24,2014-05-26-2014-05-27,6.6,0.65,0.8333333333333333,0.03356744063792693,6.6
2014-05-29,AS14.24,2014-05-27-2014-05-28,6.4,0.25,0.5833333333333333,0.08131137766532189,7.0
2014-05-30,AS14.24,2014-05-28-2014-05-29,6.8,-0.2,0.65,0.05839756229828406,7.4
2014-05-31,AS14.24,2014-05-29-2014-05-30,7.2,-0.1,1.0,0.027128032411615988,7.0
2014-06-01,AS14.24,2014-05-30-2014-05-31,7.2,0.6,1.1,0.1241019049527107,6.833333333333332
2014-06-02,AS14.24,2014-05-31-2014-06-01,6.916666666666666,0.0,0.8333333333333333,0.12994115690250577,6.75
2014-06-03,AS14.24,2014-06-01-2014-06-02,6.791666666666666,-0.33333333333333337,0.8333333333333333,0.04320524539630773,7.8
2014-06-04,AS14.24,2014-06-02-2014-06-03,7.275,0.3666666666666667,1.0,0.06526234107454623,7.0
2014-06-05,AS14.24,2014-06-03-2014-06-04,7.4,0.45,1.0,0.06893089891865799,7.0
2014-06-06,AS14.24,2014-06-04-2014-06-05,7.0,0.25,1.0,0.09936378817896943,7.5
