indexje,predict_day,user,window,mood,arousal,valence,activity,true_mood,indexje
1,2014-03-25,AS14.09,2014-03-23-2014-03-24,7.0,0.625,0.375,0.056249999999999994,6.2,1.0
2,2014-03-26,AS14.09,2014-03-24-2014-03-25,6.725,0.45,0.15,0.052430555555555564,7.75,2.0
3,2014-03-27,AS14.09,2014-03-25-2014-03-26,6.975,0.45,0.275,0.056005010315355125,7.8,3.0
4,2014-03-28,AS14.09,2014-03-26-2014-03-27,7.775,0.04999999999999999,0.775,0.056699454759799574,8.25,4.0
5,2014-03-29,AS14.09,2014-03-27-2014-03-28,8.025,-0.325,0.9,0.05343088624338624,8.0,5.0
6,2014-03-30,AS14.09,2014-03-28-2014-03-29,8.125,-0.325,1.0,0.0810350529100529,7.75,6.0
7,2014-03-31,AS14.09,2014-03-29-2014-03-30,7.875,-0.7,1.0,0.09712409420289858,7.0,7.0
8,2014-04-01,AS14.09,2014-03-30-2014-03-31,7.375,-0.6,0.6,0.09764492753623191,7.6,8.0
9,2014-04-02,AS14.09,2014-03-31-2014-04-01,7.3,-0.1,0.4,0.08159722222222225,6.2,9.0
10,2014-04-03,AS14.09,2014-04-01-2014-04-02,6.9,0.1,0.3,0.06062383286647993,7.6,10.0
11,2014-04-04,AS14.09,2014-04-02-2014-04-03,6.9,0.1,0.3,0.1111446661998132,7.25,11.0
12,2014-04-05,AS14.09,2014-04-03-2014-04-04,7.425,-0.375,0.675,0.12847222222222215,7.5,12.0
13,2014-04-06,AS14.09,2014-04-04-2014-04-05,7.375,-0.375,0.75,0.09583333333333335,6.8,13.0
14,2014-04-07,AS14.09,2014-04-05-2014-04-06,7.15,-0.2,0.775,0.12725694444444446,6.2,14.0
15,2014-04-08,AS14.09,2014-04-06-2014-04-07,6.5,-0.45,0.4,0.10850694444444445,7.2,15.0
16,2014-04-09,AS14.09,2014-04-07-2014-04-08,6.7,-0.25,0.3,0.08229166666666668,6.5,16.0
17,2014-04-10,AS14.09,2014-04-08-2014-04-09,6.85,0.125,0.425,0.06029265873015874,6.0,17.0
18,2014-04-11,AS14.09,2014-04-09-2014-04-10,6.25,0.5,0.125,0.0322420634920635,6.8,18.0
19,2014-04-12,AS14.09,2014-04-10-2014-04-11,6.4,0.375,0.3,0.07232142857142856,7.0,19.0
20,2014-04-13,AS14.09,2014-04-11-2014-04-12,6.9,0.0,0.7,0.09186507936507936,6.0,20.0
21,2014-04-14,AS14.09,2014-04-12-2014-04-13,6.5,-0.4,0.4,0.12083333333333332,5.8,21.0
22,2014-04-15,AS14.09,2014-04-13-2014-04-14,5.9,-0.5,-0.1,0.12777777777777768,6.0,22.0
23,2014-04-16,AS14.09,2014-04-14-2014-04-15,5.9,-0.1,-0.1,0.08593749999999994,5.5,23.0
24,2014-04-17,AS14.09,2014-04-15-2014-04-16,5.75,-0.25,-0.125,0.05206304112554114,7.0,24.0
25,2014-04-18,AS14.09,2014-04-16-2014-04-17,6.25,-0.25,0.25,0.06302047732968785,6.6,25.0
26,2014-04-19,AS14.09,2014-04-17-2014-04-18,6.8,-0.6,0.675,0.11259741554298973,8.0,26.0
