predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,social,gsm,amusement,system
2014-03-21,AS14.16,2014-03-19-2014-03-20,6.8,0,1,6.033333333333334,0.3333333333333333,0.4666666666666667,0.024732966081836123,0.0025415509249325165,0.0005655497685185185,0.0,0.000404525462962963,0.15789473684210525,0.00018912037037037036,0.0020605671296296296
2014-03-22,AS14.16,2014-03-20-2014-03-21,6.5,0,1,6.233333333333334,0.8333333333333333,0.6666666666666666,0.05219929372897382,0.004038506942214788,0.0012849305555555557,0.0,0.0011290625,0.21052631578947367,0.00011799189814814816,0.0024734201388888887
2014-03-23,AS14.16,2014-03-21-2014-03-22,7.0,0,1,6.65,0.75,0.875,0.06366538674703778,0.008338090276552568,0.0018161458333333332,0.0,0.0008137268518518519,0.18421052631578946,0.0005699247685185185,0.0011059837962962963
2014-03-24,AS14.16,2014-03-22-2014-03-23,6.4,1,0,6.75,0.25,0.875,0.06761139676223772,0.01089204282534343,0.0022801851851851854,7.550347222222222e-05,0.0011963310185185187,0.368421052631579,0.001589693287037037,0.001510243055555556
2014-03-25,AS14.16,2014-03-23-2014-03-24,6.0,1,0,6.7,0.0,0.9,0.08788262901314364,0.006859797457302059,0.002472725694444445,0.00011041087962962963,0.001579809027777778,0.2368421052631579,0.0010489409722222222,0.0018599305555555565
2014-03-26,AS14.16,2014-03-24-2014-03-25,5.6,1,0,6.2,0.3,0.7,0.09723955415890717,0.008521168982541122,0.003404704861111111,3.490740740740741e-05,0.0014044386574074076,0.02631578947368421,0.0002930034722222221,0.0023643402777777777
2014-03-27,AS14.16,2014-03-25-2014-03-26,6.0,1,0,5.8,0.4,0.425,0.08889561562195396,0.020482361111100078,0.0037623842592592596,0.0003749826388888889,0.002213171296296297,0.05263157894736842,0.0006412962962962963,0.0019434490740740738
2014-04-06,AS14.16,2014-04-04-2014-04-05,6.75,0,1,6.6,-0.1,0.9,0.1157798904677404,0.029755815973988294,0.011109380787037038,0.00011612268518518521,0.0018633101851851849,0.23684210526315788,0.013647245370370369,0.004499346064814813
2014-04-07,AS14.16,2014-04-05-2014-04-06,7.0,1,0,6.875,-0.3333333333333333,1.0,0.1436833377895501,0.01046417245158442,0.004311186342592592,0.0,0.0008331597222222222,0.02631578947368421,0.0016593807870370373,0.003132876157407409
2014-04-08,AS14.16,2014-04-06-2014-04-07,6.4,1,0,6.875,-0.43333333333333335,1.0,0.14314719801196718,0.022105619211991605,0.00528542824074074,0.00026203125,0.0014111400462962962,0.02631578947368421,0.001134340277777778,0.003844623842592594
2014-04-09,AS14.16,2014-04-07-2014-04-08,7.2,1,0,6.7,0.15,0.8333333333333333,0.06315684937980255,0.01285464120545871,0.0023611979166666664,0.00026203125,0.0006943113425925926,0.26315789473684215,0.00029686342592592595,0.0013382002314814814
2014-04-10,AS14.16,2014-04-08-2014-04-09,6.6,1,0,6.800000000000001,0.0,0.8333333333333333,0.14002671011214712,0.01851213541709716,5.264467592592594e-05,6.396412037037037e-05,0.0,0.26315789473684215,0.0,0.0004428414351851851
2014-04-11,AS14.16,2014-04-09-2014-04-10,7.0,0,1,6.9,-0.15,1.0,0.18477262883516432,0.024776261575796005,0.0019691203703703706,0.0005714756944444444,0.0012867766203703704,0.13157894736842105,0.0015974247685185186,0.0012974826388888893
2014-04-12,AS14.16,2014-04-10-2014-04-11,7.0,0,1,6.8,0.6,1.0,0.08448114084124023,0.00838309606468236,0.004354716435185185,0.0005075115740740741,0.0019215682870370372,0.10526315789473684,0.0015974247685185186,0.0014864756944444448
2014-04-13,AS14.16,2014-04-11-2014-04-12,6.4,0,1,7.0,1.125,1.0,0.01978682170542633,0.0021893171276207305,0.002438240740740741,0.0,0.0006347916666666666,0.10526315789473684,0.0,0.0006907407407407406
2014-04-14,AS14.16,2014-04-12-2014-04-13,7.0,1,0,6.7,0.625,0.75,0.022727272727272752,0.000762453704244561,1.7418981481481478e-05,0.0,0.0002680729166666667,0.18421052631578946,0.0,0.00044159143518518516
2014-04-15,AS14.16,2014-04-13-2014-04-14,6.6,1,0,6.7,0.4,0.75,0.039799031986532,0.001821516205867131,0.0004917766203703702,0.0,0.0003011053240740741,0.18421052631578946,0.0,0.0013243518518518515
2014-04-16,AS14.16,2014-04-14-2014-04-15,7.25,1,0,6.8,0.7,0.75,0.04207175925925925,0.001195434029731485,0.0007819270833333333,0.0,0.00023653935185185182,0.18421052631578946,0.0,0.001700503472222222
2014-04-17,AS14.16,2014-04-15-2014-04-16,7.0,1,0,6.925,0.925,0.75,0.09398832259586201,0.00410625579180541,0.0021460879629629625,0.0,0.0007273611111111111,0.23684210526315788,0.0,0.002352748842592592
2014-04-18,AS14.16,2014-04-16-2014-04-17,6.8,0,1,7.125,0.325,1.0,0.14221071353107617,0.006661666670331248,0.002731637731481481,0.0005926504629629629,0.0006056770833333334,0.23684210526315788,0.0,0.0025813946759259245
2014-04-19,AS14.16,2014-04-17-2014-04-18,7.2,0,1,6.9,-0.3,1.0,0.07808991297141091,0.014901151614332645,0.004233674768518519,0.0005926504629629629,0.001166712962962963,0.18421052631578946,0.006470729166666664,0.00235318287037037
2014-04-20,AS14.16,2014-04-18-2014-04-19,7.0,0,1,7.0,0.8,1.0,0.09689650754344314,0.012321817124331445,0.003340555555555556,0.0,0.0010848900462962963,0.18421052631578946,0.006470729166666664,0.0014191782407407408
2014-04-21,AS14.16,2014-04-19-2014-04-20,7.25,1,0,7.1,1.4666666666666668,1.0,0.0920289855072464,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0
2014-04-22,AS14.16,2014-04-20-2014-04-21,6.6,1,0,7.125,1.1666666666666665,1.0,0.004598662207357846,0.004278107637332545,0.0027852199074074073,0.0,0.00019282407407407407,0.02631578947368421,0.00036183449074074075,0.0021047048611111114
2014-04-23,AS14.16,2014-04-21-2014-04-22,7.25,1,0,6.925,0.9,0.9,0.03207063362436331,0.00953731480709932,0.007074560185185185,0.0,0.0007756365740740741,0.02631578947368421,0.001544866898148148,0.0030772743055555558
2014-04-24,AS14.16,2014-04-22-2014-04-23,5.4,1,0,6.925,0.775,0.9,0.06847904992408395,0.01277509258577117,0.009078628472222221,0.0008097800925925925,0.0006871180555555556,0.15789473684210525,0.0011830324074074074,0.002802083333333333
2014-04-25,AS14.16,2014-04-23-2014-04-24,7.2,0,1,6.325,0.275,0.4,0.04787260881010878,0.014400781249558486,0.006261574074074073,0.0008097800925925925,0.0001043055555555556,0.23684210526315788,0.0019968634259259267,0.00223984375
2014-04-26,AS14.16,2014-04-24-2014-04-25,6.75,0,1,6.300000000000001,0.19999999999999998,0.4,0.049479166666666616,0.008816001155862107,0.0015827199074074075,0.0,0.00012992476851851853,0.6052631578947368,0.0019968634259259267,0.0014691030092592592
2014-04-27,AS14.16,2014-04-25-2014-04-26,7.2,0,1,6.975,0.55,1.0,0.22006899350649345,0.0022525347203568207,0.0003972743055555557,0.0,0.00012992476851851853,0.5789473684210527,0.0,0.0010640625
2014-04-28,AS14.16,2014-04-26-2014-04-27,8.0,1,0,6.975,0.15,1.0,0.23833885770027075,0.00187623263647159,0.0013730150462962967,0.0,0.0,0.13157894736842105,0.0,0.0004725868055555557
2014-04-29,AS14.16,2014-04-27-2014-04-28,7.0,1,0,7.6,0.4,1.0,0.1549311196050326,0.0027665219897473293,0.0011767939814814816,0.0,0.0009728819444444445,0.2894736842105263,0.0,0.0006128125000000001
2014-04-30,AS14.16,2014-04-28-2014-04-29,7.0,1,0,7.5,0.25,1.0,0.11201086956521736,0.008651006947512977,0.004262962962962964,0.0007677488425925923,0.0013445081018518522,0.5263157894736843,0.002433454861111111,0.0028477719907407406
