predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,office,social,travel,gsm,system
2014-03-24,AS14.15,2014-03-21-2014-03-23,7.0,1,0,7.0,0.0,0.9333333333333332,0.09507023834348967,0.006717418983210753,0.003080432098765433,1.1612654320987652e-05,0.0,0.0,0.07246376811594203,0.004805196759259262
2014-03-25,AS14.15,2014-03-22-2014-03-24,7.0,1,0,7.0,0.26666666666666666,0.9333333333333332,0.07199557637993885,0.004813387347040354,0.0024746720679012352,8.280864197530866e-05,0.0,0.0,0.0,0.002099444444444444
2014-03-26,AS14.15,2014-03-23-2014-03-25,7.2,1,0,7.0,0.6666666666666666,0.9333333333333332,0.049745960353156767,0.00900400463077757,0.00559823688271605,8.280864197530866e-05,0.0,0.0,0.014492753623188406,0.003251894290123457
2014-03-27,AS14.15,2014-03-24-2014-03-26,7.0,1,0,7.066666666666666,1.0666666666666667,0.8666666666666667,0.07705406555981273,0.025926192127812053,0.01843763888888889,8.280864197530866e-05,0.0,0.00024035108024691358,0.15942028985507248,0.006374124228395061
2014-03-28,AS14.15,2014-03-25-2014-03-27,7.2,0,1,7.066666666666666,1.0666666666666667,0.9333333333333332,0.07705406555981273,0.02466796296246258,0.01829023533950617,0.0,0.0,0.00024035108024691358,0.3333333333333333,0.005567916666666665
2014-03-29,AS14.15,2014-03-26-2014-03-28,7.0,0,1,7.133333333333333,1.2,0.9333333333333332,0.08963844797178135,0.025201697528914168,0.018866045524691358,0.0,0.0,0.00024035108024691358,0.43478260869565216,0.0059166049382716026
2014-03-30,AS14.15,2014-03-27-2014-03-29,7.4,0,1,7.066666666666666,0.3333333333333334,0.9333333333333332,0.1226719576719577,0.006860760030003237,0.00402162037037037,3.487268518518518e-05,0.00019140817901234567,0.0,0.4347826086956521,0.0031534953703703703
2014-03-31,AS14.15,2014-03-28-2014-03-30,7.2,1,0,7.2,-0.26666666666666666,0.9333333333333332,0.2069642857142858,0.010989320988272438,0.005279212962962962,3.487268518518518e-05,0.000793179012345679,0.0,0.3333333333333333,0.0052348649691358025
2014-04-01,AS14.15,2014-03-29-2014-03-31,7.2,1,0,7.2,-0.6,0.9333333333333332,0.19294312169312175,0.004881508488346029,0.0012692283950617286,3.487268518518518e-05,0.000793179012345679,0.0,0.49275362318840576,0.0027468132716049394
2014-04-02,AS14.15,2014-03-30-2014-04-01,7.2,1,0,7.266666666666667,-3.700743415417188e-17,1.0,0.1749007936507936,0.007100462965023371,0.004092550154320986,0.0,0.0006017708333333334,0.0,0.4202898550724638,0.003386022376543211
2014-04-03,AS14.15,2014-03-31-2014-04-02,7.2,1,0,7.2,0.5333333333333333,1.0,0.15376984126984128,0.009379483024463238,0.007918063271604938,3.496913580246914e-05,5.447916666666666e-05,0.0,0.463768115942029,0.0023173418209876543
2014-04-04,AS14.15,2014-04-01-2014-04-03,7.2,0,1,7.2,0.6666666666666666,1.0,0.15376984126984128,0.009379483024463238,0.007918063271604938,3.496913580246914e-05,5.447916666666666e-05,0.0,0.21739130434782605,0.0023173418209876543
2014-04-05,AS14.15,2014-04-02-2014-04-04,7.8,0,1,7.2,0.6666666666666666,1.0,0.11762145668395675,0.009264814815035572,0.006393626543209877,3.496913580246914e-05,0.0009657330246913583,0.0,0.17391304347826084,0.0031848070987654325
2014-04-06,AS14.15,2014-04-03-2014-04-05,6.2,0,1,7.3999999999999995,0.7333333333333334,1.0,0.10051271260152839,0.0029534992299698037,0.0013105208333333326,0.0,0.0009112538580246917,0.0,0.11594202898550722,0.002077959104938272
2014-04-07,AS14.15,2014-04-04-2014-04-06,6.8,1,0,7.066666666666666,0.46666666666666673,0.6666666666666666,0.10270569505766874,0.00458832176103268,0.0020752970679012335,0.0,0.0009112538580246917,0.0,0.17391304347826084,0.0029473958333333336
2014-04-14,AS14.15,2014-04-11-2014-04-13,7.0,1,0,7.133333333333333,1.1333333333333333,0.9333333333333332,0.044270833333333315,0.01141848765221643,0.004664432870370372,0.0,0.0016503703703703704,0.0,0.43478260869565216,0.003460320216049382
2014-04-15,AS14.15,2014-04-12-2014-04-14,7.0,1,0,7.133333333333333,1.3333333333333333,1.0,0.06065825249853027,0.019525057869376958,0.012171118827160494,0.0006096103395061726,0.0004214158950617282,0.0007518518518518517,0.43478260869565216,0.004411689814814815
2014-04-16,AS14.15,2014-04-13-2014-04-15,7.0,1,0,7.0,0.9333333333333332,1.0,0.028292181069958847,0.011173618827705028,0.007666604938271604,0.0006096103395061726,0.0004214158950617282,0.0007518518518518517,0.36231884057971014,0.002164564043209877
2014-04-17,AS14.15,2014-04-14-2014-04-16,6.4,1,0,7.0,0.3333333333333333,1.0,0.06959233539094649,0.02202007715900739,0.014461535493827163,0.0006096103395061726,0.0004214158950617282,0.0007518518518518517,0.028985507246376812,0.007522029320987653
2014-04-18,AS14.15,2014-04-15-2014-04-17,6.0,0,1,6.8,0.0,0.6666666666666666,0.07168209876543206,0.019872901231786352,0.01237258487654321,3.8726851851851856e-05,0.00024444444444444443,0.0,0.04347826086956521,0.009783383487654318
2014-04-19,AS14.15,2014-04-16-2014-04-18,7.0,0,1,6.466666666666666,-0.06666666666666667,0.3333333333333333,0.15852001194743118,0.025370003853315188,0.013776847993827161,0.001297253086419753,0.00024444444444444443,0.0003998186728395062,0.028985507246376805,0.01077296682098765
