predict_day,user,window,true_mood,weekday,weekend_day,mood,arousal,valence,activity,screen,communication,finance,office,social,travel,weather,gsm,amusement,system
2014-04-15,AS14.25,2014-04-11-2014-04-14,6.5,1,0,6.9375,-0.06250000000000003,0.425,0.08239075804884757,0.06153894386633678,0.035411915509259255,0.0,0.00021963831018518513,0.01848738136574074,0.0,0.0001756105324074074,0.2894736842105263,0.0009157725694444443,0.041788559027777776
2014-04-16,AS14.25,2014-04-12-2014-04-15,7.2,1,0,6.625,-0.06250000000000003,0.3,0.06375295113049753,0.05573126447214572,0.03556547164351852,0.0,0.00021667245370370368,0.007655564236111111,0.0002494994212962962,0.0002715972222222222,0.19736842105263155,0.0007979108796296295,0.012189007523148148
2014-04-17,AS14.25,2014-04-13-2014-04-16,6.5,1,0,6.675,0.03749999999999999,0.30000000000000004,0.07894260975628412,0.07406399595102778,0.05020383969907408,0.0,0.000633912037037037,0.006660668402777778,0.0003139496527777777,0.0002861603009259259,0.2631578947368421,0.0009727922453703703,0.012901030092592594
2014-04-18,AS14.25,2014-04-14-2014-04-17,6.25,0,1,6.65,0.1375,0.2,0.09973611903637984,0.1082241724597083,0.06609588252314814,0.0,0.0016454427083333334,0.021111542245370374,0.0008505092592592592,0.00013089409722222224,0.24999999999999997,0.00017488136574074072,0.01628342303240741
2014-04-19,AS14.25,2014-04-15-2014-04-18,7.5,0,1,6.6125,-0.075,0.15,0.09539381030073152,0.11966890914917541,0.07367766203703704,0.0,0.0016454427083333334,0.020295410879629633,0.0013056597222222222,0.00011054976851851852,0.381578947368421,0.00020391782407407405,0.02301924768518518
2014-04-20,AS14.25,2014-04-16-2014-04-19,6.8,0,1,6.8625,-0.2,0.15,0.11423490705011433,0.12440143518908706,0.07535652488425926,0.0,0.001718214699074074,0.02372955150462963,0.001056160300925926,1.4563078703703705e-05,0.42105263157894735,0.0006158796296296296,0.0212508912037037
2014-04-21,AS14.25,2014-04-17-2014-04-20,7.4,1,0,6.7625,-0.25,0.0,0.09481379538219316,0.1200336140125162,0.07147164351851851,0.0,0.0012427141203703704,0.022936438078703707,0.0010992881944444444,0.00015219618055555554,0.3421052631578947,0.0006208043981481482,0.022303382523148146
2014-04-22,AS14.25,2014-04-18-2014-04-21,8.25,1,0,6.987500000000001,-0.35,0.2,0.08702392598664258,0.09629582176260926,0.054143802083333345,0.0,7.277199074074073e-05,0.015159947916666666,0.0026178038194444456,0.0003013715277777778,0.513157894736842,0.0015674855324074074,0.02271486979166666
2014-04-23,AS14.25,2014-04-19-2014-04-22,6.5,1,0,7.487500000000001,-0.22499999999999998,0.45,0.10051763384022264,0.09552613137358873,0.047549380787037035,0.0,0.0003355063657407407,0.014209597800925925,0.002293605324074075,0.0003013715277777778,0.39473684210526316,0.0015907349537037036,0.027225954861111117
2014-04-24,AS14.25,2014-04-20-2014-04-23,6.0,1,0,7.2375,-0.1625,0.45,0.08047414790478921,0.10284119502537784,0.05226349537037037,0.0,0.00044415509259259256,0.01518405960648148,0.002293605324074075,0.00032778067129629634,0.4210526315789474,0.001178773148148148,0.030747138310185194
2014-04-25,AS14.25,2014-04-21-2014-04-24,6.25,0,1,7.0375,-0.4625,0.45,0.09500722539016933,0.1140144444457083,0.06234168402777779,0.0,0.00044415509259259256,0.016399262152777774,0.004006478587962964,0.00029507812500000004,0.4736842105263158,0.0013625491898148147,0.033326458333333336
2014-04-26,AS14.25,2014-04-22-2014-04-25,7.0,0,1,6.75,-0.425,0.1875,0.08615305872350267,0.10904971932854368,0.06309771412037037,0.0,0.0004499768518518518,0.008105037615740737,0.0019514033564814817,0.0004040393518518519,0.28947368421052627,0.007139317129629628,0.032769392361111115
2014-04-27,AS14.25,2014-04-23-2014-04-26,7.4,0,1,6.4375,-0.3625,0.1875,0.09698656076914766,0.09730683738296782,0.05779235243055557,0.0,0.00018724247685185182,0.014687725694444442,0.001820451388888889,0.0004040393518518519,0.24999999999999994,0.007087031249999999,0.02119660590277778
2014-04-28,AS14.25,2014-04-24-2014-04-27,7.2,1,0,6.6625,-0.2375,0.3875,0.08355090393860447,0.08205300058065741,0.0505776417824074,0.000541863425925926,3.5217013888888885e-05,0.009560054976851851,0.001820451388888889,0.00037763020833333333,0.15789473684210525,0.007797714120370369,0.017296432291666667
2014-04-29,AS14.25,2014-04-25-2014-04-28,6.0,1,0,6.9624999999999995,0.0625,0.48750000000000004,0.09243935515242334,0.09194159721817684,0.05684828125000002,0.000541863425925926,4.1024305555555554e-05,0.007648038194444444,0.00013138888888888892,0.0003396788194444445,0.2763157894736842,0.009932887731481481,0.018358715277777778
2014-04-30,AS14.25,2014-04-26-2014-04-29,6.2,1,0,6.9,-0.175,0.4,0.0993780603865831,0.10158116029713438,0.06701920717592595,0.000541863425925926,3.520254629629629e-05,0.009208119212962962,0.00017454861111111116,0.00013303240740740742,0.513157894736842,0.006469331597222223,0.019338003472222226
